standard,hiqa_id,element,applies_to,conformance,cardinality,hiqa_datatype,profile,path,ms,status,notes,lm_path
EP,1.6.3.1,Weight value,PD,Optional,0..1,Decimal,IECoreBodyWeight,Observation.valueQuantity.value,Y,Aligned,,HIQAEPrescriptionLM.patientDetails.clinicalInformation.weight.weightValue
EP,1.6.3.2,Weight type,PD,Optional,0..1,Coded value,IECoreBodyWeight,Observation.valueQuantity.code,Y,Aligned,UCUM kg; HIQA also lists stone/pounds,HIQAEPrescriptionLM.patientDetails.clinicalInformation.weight.weightType
EP,1.6.3.3,Record entry provenance data for weight (cluster),PD,Optional,0..*,,IECoreBodyWeight,Observation,N,Aligned,,HIQAEPrescriptionLM.patientDetails.clinicalInformation.weight.recordEntryProvenanceDataForWeight
EP,1.6.3.3.1,Record entry identifier,PD,Optional,0..*,Alpha-numeric,IECoreBodyWeight,Observation.identifier,N,Aligned,,HIQAEPrescriptionLM.patientDetails.clinicalInformation.weight.recordEntryProvenanceDataForWeight.recordEntryIdentifier
EP,1.6.3.3.2,Record entry author,PD,Mandatory,0..*,,IECoreBodyWeight,Observation.performer,N,Partial,Mandatory within the cluster; not MS,HIQAEPrescriptionLM.patientDetails.clinicalInformation.weight.recordEntryProvenanceDataForWeight.recordEntryAuthor
EP,1.6.3.3.3,Record entry date,PD,Mandatory,0..1,Datetime,IECoreBodyWeight,Observation.effective[x],Y,Aligned,,HIQAEPrescriptionLM.patientDetails.clinicalInformation.weight.recordEntryProvenanceDataForWeight.recordEntryDate
EP,1.6.3.3.4,Record entry source,PD,Optional,0..1,Coded value,IECoreBodyWeight,Observation.performer,N,Aligned,source (patient-reported vs practitioner),HIQAEPrescriptionLM.patientDetails.clinicalInformation.weight.recordEntryProvenanceDataForWeight.recordEntrySource
EP,1.6.3.3.5,Record entry language,PD,Optional,0..1,Coded value,IECoreBodyWeight,Observation.language,N,Aligned,,HIQAEPrescriptionLM.patientDetails.clinicalInformation.weight.recordEntryProvenanceDataForWeight.recordEntryLanguage
EP,1.6.4,Height (record entry),PD,Optional,0..1,,IECoreBodyHeight,Observation,N,Aligned,Optional; not linked to the prescription,HIQAEPrescriptionLM.patientDetails.clinicalInformation.height
EP,1.6.4.1,Height value,PD,Optional,0..1,Decimal,IECoreBodyHeight,Observation.valueQuantity.value,Y,Aligned,,HIQAEPrescriptionLM.patientDetails.clinicalInformation.height.heightValue
EP,1.6.4.2,Height type,PD,Optional,0..1,Coded value,IECoreBodyHeight,Observation.valueQuantity.code,Y,Aligned,,HIQAEPrescriptionLM.patientDetails.clinicalInformation.height.heightType
EP,1.6.4.3,Record entry provenance data for height (cluster),PD,Optional,0..*,,IECoreBodyHeight,Observation,N,Aligned,,HIQAEPrescriptionLM.patientDetails.clinicalInformation.height.recordEntryProvenanceDataForHeight
EP,1.6.4.3.1,Record entry identifier,PD,Optional,0..*,Alpha-numeric,IECoreBodyHeight,Observation.identifier,N,Aligned,,HIQAEPrescriptionLM.patientDetails.clinicalInformation.height.recordEntryProvenanceDataForHeight.recordEntryIdentifier
EP,1.6.4.3.2,Record entry author,PD,Mandatory,0..*,,IECoreBodyHeight,Observation.performer,N,Partial,Mandatory within the cluster; not MS,HIQAEPrescriptionLM.patientDetails.clinicalInformation.height.recordEntryProvenanceDataForHeight.recordEntryAuthor
EP,1.6.4.3.3,Record entry date,PD,Mandatory,0..1,Datetime,IECoreBodyHeight,Observation.effective[x],Y,Aligned,,HIQAEPrescriptionLM.patientDetails.clinicalInformation.height.recordEntryProvenanceDataForHeight.recordEntryDate
EP,1.6.4.3.4,Record entry source,PD,Optional,0..1,Coded value,IECoreBodyHeight,Observation.performer,N,Aligned,,HIQAEPrescriptionLM.patientDetails.clinicalInformation.height.recordEntryProvenanceDataForHeight.recordEntrySource
EP,1.6.4.3.5,Record entry language,PD,Optional,0..1,Coded value,IECoreBodyHeight,Observation.language,N,Aligned,,HIQAEPrescriptionLM.patientDetails.clinicalInformation.height.recordEntryProvenanceDataForHeight.recordEntryLanguage
EP,1.6.5,Additional notes,PD,Optional,0..1,Free text,IECoreMedicationRequestEPrescription,MedicationRequest.note,Y,Aligned,,HIQAEPrescriptionLM.patientDetails.clinicalInformation.additionalNotes
EP,2.1,Name title,PD,Optional,0..*,Coded value,IECorePractitioner,Practitioner.name.prefix,Y,Aligned,,HIQAEPrescriptionLM.healthPractitionerDetails.nameTitle
EP,2.2,Forename,PD,Mandatory,1..1,Free text,IECorePractitioner,Practitioner.name.given,Y,Aligned,given 1..*,HIQAEPrescriptionLM.healthPractitionerDetails.forename
EP,2.3,Surname,PD,Mandatory,1..1,Free text,IECorePractitioner,Practitioner.name.family,Y,Aligned,,HIQAEPrescriptionLM.healthPractitionerDetails.surname
EP,2.4,Name suffix,PD,Optional,0..*,Coded value,IECorePractitioner,Practitioner.name.suffix,Y,Aligned,,HIQAEPrescriptionLM.healthPractitionerDetails.nameSuffix
EP,2.5,Health practitioner role and speciality (cluster),PD,Required,0..*,,IECorePractitionerRole,PractitionerRole,Y,Aligned,requester Reference(PractitionerRole | Practitioner); role preferred,HIQAEPrescriptionLM.healthPractitionerDetails.healthPractitionerRoleAndSpeciality
EP,2.5.1,Health practitioner role,PD,Required,0..*,Coded value,IECorePractitionerRole,PractitionerRole.code,Y,Aligned,binding ie-core-provider-taxonomy; HIQA roles (RNP/RMP/CCS pharmacist) not verified in it,HIQAEPrescriptionLM.healthPractitionerDetails.healthPractitionerRoleAndSpeciality.healthPractitionerRole
EP,2.5.2,Health practitioner specialty,PD,Optional,0..*,Coded value,IECorePractitionerRole,PractitionerRole.specialty,Y,Aligned,,HIQAEPrescriptionLM.healthPractitionerDetails.healthPractitionerRoleAndSpeciality.healthPractitionerSpecialty
EP,2.6,Health practitioner registration (cluster),PD,Mandatory,1..1,,IECorePractitioner,Practitioner.identifier,Y,Partial,"identifier 1..*; registration slices IMC, PSI, NMBI, DentalCouncil are each 0..1, so no registration number is required on the prescriber (independent review R-10; Requires Clarification which register applies per prescriber type)",HIQAEPrescriptionLM.healthPractitionerDetails.healthPractitionerRegistration
EP,2.6.1,Health Professional body registration – type,PD,Mandatory,1..1,Coded value,IECorePractitioner,Practitioner.identifier.system,Y,Aligned,"registration body = identifier system (placeholder URIs, OI-003)",HIQAEPrescriptionLM.healthPractitionerDetails.healthPractitionerRegistration.healthProfessionalBodyRegistrationType
EP,2.6.2,Health Professional body registration – value,PD,Mandatory,1..1,Alpha-numeric,IECorePractitioner,Practitioner.identifier.value,Y,Aligned,PSI format warning (up to 8 digits); MCRN six-digit is an example only,HIQAEPrescriptionLM.healthPractitionerDetails.healthPractitionerRegistration.healthProfessionalBodyRegistrationValue
EP,2.7,Healthcare facility name,PD,Required,0..1,Free text,IECoreOrganization,Organization.name,Y,Aligned,,HIQAEPrescriptionLM.healthPractitionerDetails.healthcareFacilityName
EP,2.8,Healthcare facility identifier,PD,Required,0..1,Alpha-numeric,IECoreOrganization,Organization.identifier:PSIRPB,Y,Aligned,PSI Retail Pharmacy Business registration number,HIQAEPrescriptionLM.healthPractitionerDetails.healthcareFacilityIdentifier
EP,2.9,Healthcare facility address (cluster),PD,Mandatory,1..1,,IECoreOrganization,Organization.address,Y,Partial,Mandatory; enforced in the base only as MS (Bundle-level enforcement deferred: see open issues),HIQAEPrescriptionLM.healthPractitionerDetails.healthcareFacilityAddress
EP,2.9.1,Postcode,PD,Mandatory,1..1,Alpha-numeric,IECoreOrganization,Organization.address.postalCode,Y,Partial,Mandatory within the facility address; not yet enforced,HIQAEPrescriptionLM.healthPractitionerDetails.healthcareFacilityAddress.postcode
EP,2.9.2,Address line(s),PD,Mandatory,1..1,Free text,IECoreOrganization,Organization.address.line,Y,Partial,Mandatory within the facility address; not yet enforced,HIQAEPrescriptionLM.healthPractitionerDetails.healthcareFacilityAddress.addressLineS
EP,2.9.3,Suburb/Town/ Townland/Locality,PD,Required,0..1,Free text,IECoreOrganization,Organization.address.city,Y,Aligned,,HIQAEPrescriptionLM.healthPractitionerDetails.healthcareFacilityAddress.suburbTownTownlandLocality
EP,2.9.4,District/ County,PD,Mandatory,1..1,Coded Value,IECoreOrganization,Organization.address.state,Y,Partial,Mandatory within the facility address; not yet enforced,HIQAEPrescriptionLM.healthPractitionerDetails.healthcareFacilityAddress.districtCounty
EP,2.9.5,Country,PD,Mandatory,1..1,Coded value,IECoreOrganization,Organization.address.country,Y,Partial,Mandatory within the facility address; not yet enforced,HIQAEPrescriptionLM.healthPractitionerDetails.healthcareFacilityAddress.country
EP,2.10,Communication details (cluster),PD,Mandatory,1..*,,IECoreBundleEPrescription,Bundle.entry,Y,Aligned,prescriber or facility telephone required (ie-bnd-rx-4),HIQAEPrescriptionLM.healthPractitionerDetails.communicationDetails
EP,2.10.1,Telephone Number,PD,Mandatory,1..1,Alpha-numeric,IECoreBundleEPrescription,Bundle.entry,Y,Aligned,"ie-bnd-rx-4: phone on the requester, its practitioner or its organisation (another party's phone does not count)",HIQAEPrescriptionLM.healthPractitionerDetails.communicationDetails.telephoneNumber
EP,2.10.2,Email address,PD,Required,0..*,Alpha-numeric,IECoreBundleEPrescriptionCrossBorder,Bundle.entry,Y,Aligned,email required cross-border (ie-bnd-xb-1); Required (MS) otherwise,HIQAEPrescriptionLM.healthPractitionerDetails.communicationDetails.emailAddress
EP,2.10.3,Other Communication details (cluster),PD,Optional,0..*,,IECorePractitionerRole,PractitionerRole.telecom,Y,Aligned,,HIQAEPrescriptionLM.healthPractitionerDetails.communicationDetails.otherCommunicationDetails
EP,2.10.3.1,Communication details – Type,PD,Optional,0..*,Coded value,IECorePractitionerRole,PractitionerRole.telecom.system,Y,Aligned,,HIQAEPrescriptionLM.healthPractitionerDetails.communicationDetails.otherCommunicationDetails.communicationDetailsType
EP,2.10.3.2,Communication Details – Value,PD,Optional,0..*,Alpha-numeric,IECorePractitionerRole,PractitionerRole.telecom.value,Y,Aligned,,HIQAEPrescriptionLM.healthPractitionerDetails.communicationDetails.otherCommunicationDetails.communicationDetailsValue
EP,2.11,Location ID (GLN),PD,Required,0..1,Numeric,IECoreLocation,Location.identifier:GLN,Y,Aligned,system http://www.gs1.org/gln (THO); 13 digits + GS1 check digit (ie-loc-gln-1),HIQAEPrescriptionLM.healthPractitionerDetails.locationIdGln
EP,2.12,GMS Panel ID,,Optional,0..1,Numeric,IECoreOrganization,Organization.identifier:GMSPanel,N,Aligned,Optional; no format enforced,HIQAEPrescriptionLM.healthPractitionerDetails.gmsPanelId
EP,2.13,Signature,P,Required,0..1,Multi-media,IECoreProvenanceEPrescriptionSignature,Provenance.signature,Y,Aligned,Provenance signature over the items; required cross-border (ie-bnd-xb-2); format Requires Clarification (OI-009),HIQAEPrescriptionLM.healthPractitionerDetails.signature
EP,3.1,Electronic prescription identifier (cluster),P,Mandatory,1..*,Alpha-numeric Alpha-numeric,IECoreMedicationRequestEPrescription,MedicationRequest.groupIdentifier,Y,Aligned,enforced by invariant ie-bnd-rx-1 (shared group identifier for multi-item prescriptions); single item: identifier 1..*,HIQAEPrescriptionLM.medicationPrescription.electronicPrescriptionIdentifier
EP,3.1.1,Electronic prescription identifier – type,P,Mandatory,1..1,Coded value,IECoreMedicationRequestEPrescription,MedicationRequest.identifier.type,N,Partial,identifier type not constrained (no HIQA value set),HIQAEPrescriptionLM.medicationPrescription.electronicPrescriptionIdentifier.electronicPrescriptionIdentifierType
EP,3.1.2,Electronic prescription identifier – value,P,Mandatory,1..1,Alpha-numeric,IECoreMedicationRequestEPrescription,MedicationRequest.identifier.value,N,Aligned,,HIQAEPrescriptionLM.medicationPrescription.electronicPrescriptionIdentifier.electronicPrescriptionIdentifierValue
EP,3.2,Date and time of issuing the prescription,P,Mandatory,1..1,DateTime,IECoreMedicationRequestEPrescription,MedicationRequest.authoredOn,Y,Aligned,,HIQAEPrescriptionLM.medicationPrescription.dateAndTimeOfIssuingThePrescription
EP,3.3,Prescription Status (cluster),P,Mandatory,1..1,,IECoreMedicationRequestEPrescription,MedicationRequest.status,Y,Partial,prescription-level status DERIVED from item statuses (ADR-003); no container resource,HIQAEPrescriptionLM.medicationPrescription.prescriptionStatus
EP,3.3.1,Status,P,Mandatory,1..1,Coded value,IECoreMedicationRequestEPrescription,MedicationRequest.status,Y,Partial,derived from items (ADR-003),HIQAEPrescriptionLM.medicationPrescription.prescriptionStatus.status
EP,3.3.2,Status reason,P,Required,0..1,Coded value,IECoreMedicationRequestEPrescription,MedicationRequest.statusReason,Y,Partial,item level (ie-rx-status-1),HIQAEPrescriptionLM.medicationPrescription.prescriptionStatus.statusReason
EP,3.3.3,Status reason (free text),P,Optional,0..1,Free text,IECoreMedicationRequestEPrescription,MedicationRequest.statusReason.text,N,Partial,item level,HIQAEPrescriptionLM.medicationPrescription.prescriptionStatus.statusReason2
EP,3.4,Presented form,P,Optional,0..*,Attachment,IECoreBundleEPrescription,,N,Gap,presented form (PDF): may be added as a DocumentReference/Binary entry; not profiled (Optional),HIQAEPrescriptionLM.medicationPrescription.presentedForm
EP,3.5,Prescription item (cluster),P,Mandatory,1..*,,IECoreMedicationRequestEPrescription,MedicationRequest,Y,Aligned,,HIQAEPrescriptionLM.medicationPrescription.prescriptionItem
EP,3.5.1,Prescription item identifier,P,Mandatory,1..*,Alpha-numeric,IECoreMedicationRequestEPrescription,MedicationRequest.identifier,Y,Aligned,,HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.prescriptionItemIdentifier
EP,3.5.2,Prescription item status (cluster),P,Mandatory,1..1,,IECoreMedicationRequestEPrescription,MedicationRequest.status,Y,Aligned,,HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.prescriptionItemStatus
EP,3.5.2.1,Prescription item status,P,Mandatory,1..1,Coded value,IECoreMedicationRequestEPrescription,MedicationRequest.status,Y,Aligned,,HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.prescriptionItemStatus.prescriptionItemStatus
EP,3.5.2.2,Prescription item status reason,P,Required,0..1,Coded value,IECoreMedicationRequestEPrescription,MedicationRequest.statusReason,Y,Aligned,required unless active/completed/draft (ie-rx-status-1),HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.prescriptionItemStatus.prescriptionItemStatusReason
EP,3.5.2.3,Prescription item status reason (free text),P,Optional,0..1,Free text,IECoreMedicationRequestEPrescription,MedicationRequest.statusReason.text,N,Aligned,,HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.prescriptionItemStatus.prescriptionItemStatusReason2
EP,3.5.3,Prescribed Medication item,P,Mandatory,1..1,,IECoreMedicationRequestEPrescription,MedicationRequest.medication[x],Y,Aligned,medication[x] only Reference(IECoreMedicationEPrescription): Section 4 detail and the MDA schedule live on the Medication (review R-01),HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.prescribedMedicationItem
EP,3.5.4,Indication for prescription item (cluster),P,Optional,0..*,,IECoreMedicationRequestEPrescription,MedicationRequest.reasonCode,Y,Aligned,,HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.indicationForPrescriptionItem
EP,3.5.4.1,Indication for prescription item,P,Optional,0..*,Coded value,IECoreMedicationRequestEPrescription,MedicationRequest.reasonCode,Y,Aligned,,HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.indicationForPrescriptionItem.indicationForPrescriptionItem
EP,3.5.4.2,Indication for prescription item (free text),P,Optional,0..1,Free text,IECoreMedicationRequestEPrescription,MedicationRequest.reasonCode.text,N,Aligned,,HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.indicationForPrescriptionItem.indicationForPrescriptionItem2
EP,3.5.5,Intended use of prescription item,P,Optional,0..1,Coded value,IECoreMedicationRequestEPrescription,MedicationRequest.category,Y,Aligned,,HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.intendedUseOfPrescriptionItem
EP,3.5.6,Period of use,P,Required,0..1,Period,IECoreMedicationRequestEPrescription,MedicationRequest.extension:effectiveDosePeriod,Y,Aligned,HL7 Europe MPD R5 backport extension,HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.periodOfUse
EP,3.5.7,Quantity of prescription item prescribed (cluster),P,Required,0..1,,IECoreMedicationRequestEPrescription,MedicationRequest.dispenseRequest.extension:prescribedQuantity,Y,Aligned,overall quantity (IHE via MPD); per-dispense quantity 1..1 (OI-012),HIQAEPrescriptionLM.medicationPrescription.prescriptionItem.quantityOfPrescriptionItemPrescribed
