hiqa_id,profile,path,ms,status,notes
4.6,IECoreMedicationEPrescription,,N,Gap,R4 Medication has no description element; Optional
4.7,IECoreMedicationEPrescription,Medication.ingredient,Y,Aligned,
4.7.1,IECoreMedicationEPrescription,Medication.form,Y,Partial,R4 has no item-level dose form (combination packs need contained Medications)
4.7.2,IECoreMedicationEPrescription,Medication.ingredient,Y,Partial,HIQA Mandatory 1..* within the item; IG 0..*
4.7.2.1,IECoreMedicationEPrescription,Medication.ingredient.isActive,Y,Aligned,
4.7.2.2,IECoreMedicationEPrescription,Medication.ingredient.item[x],Y,Aligned,
4.7.2.3,IECoreMedicationEPrescription,Medication.ingredient.strength,Y,Aligned,
4.7.2.3.1,IECoreMedicationEPrescription,Medication.ingredient.strength,Y,Aligned,Mandatory within the strength cluster (4.7.2.3 = ingredient.strength 0..1)
4.7.2.3.2,IECoreMedicationEPrescription,,N,Gap,basis of strength substance
4.7.3,IECoreMedicationEPrescription,,N,Gap,unit of presentation
4.7.4,IECoreMedicationEPrescription,,N,Gap,contained quantity
4.7.5,IECoreMedicationEPrescription,Medication.amount,Y,Aligned,
4.7.6,IECoreMedicationEPrescription,,N,Gap,package type (EU extension medication-package-type is aliased but unused)
4.8,IECoreMedicationEPrescription,,N,Gap,device cluster
4.8.1,IECoreMedicationEPrescription,,N,Gap,
4.8.2,IECoreMedicationEPrescription,,N,Gap,
4.9,IECoreMedicationEPrescription,,N,Gap,characteristics
4.9.1,IECoreMedicationEPrescription,,N,Gap,
4.9.2,IECoreMedicationEPrescription,,N,Gap,
4.9.2.1,IECoreMedicationEPrescription,,N,Gap,
4.9.2.2,IECoreMedicationEPrescription,,N,Gap,
4.9.2.3,IECoreMedicationEPrescription,,N,Gap,
4.9.2.4,IECoreMedicationEPrescription,,N,Gap,
4.9.2.5,IECoreMedicationEPrescription,,N,Gap,
4.9.2.6,IECoreMedicationEPrescription,,N,Gap,
4.9.2.7,IECoreMedicationEPrescription,,N,Gap,
4.10,IECoreMedicationEPrescription,Medication.batch,Y,Aligned,
4.10.1,IECoreMedicationEPrescription,Medication.batch.lotNumber,Y,Aligned,
4.10.2,IECoreMedicationEPrescription,Medication.batch.expirationDate,Y,Aligned,
4.11,IECoreMedicationEPrescription,,N,Gap,exempt medication item
5.1,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.text,Y,Aligned,IG 1..1 (stricter; safety fallback)
5.2,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction,Y,Aligned,
5.2.1,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.sequence,N,Aligned,
5.2.2,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.patientInstruction,N,Partial,Required; not MS
5.2.3,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.doseAndRate,Y,Aligned,
5.2.3.1,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.doseAndRate.dose[x],N,Partial,Required; not MS
5.2.3.1.1,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.doseAndRate.doseQuantity,N,Partial,Required; not MS
5.2.3.1.2,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.doseAndRate.doseRange,N,Partial,Required; not MS
5.2.3.2,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.doseAndRate.rate[x],N,Aligned,
5.2.3.2.1,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.doseAndRate.rateQuantity,N,Aligned,
5.2.3.2.2,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.doseAndRate.rateRatio,N,Aligned,
5.2.4,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing,Y,Aligned,
5.2.4.1,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing.repeat.bounds[x],N,Aligned,
5.2.4.1.1,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing.repeat.boundsDuration,N,Aligned,
5.2.4.1.2,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing.repeat.boundsPeriod,N,Aligned,
5.2.4.2,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing.repeat.duration,N,Aligned,
5.2.4.3,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing.repeat,N,Partial,Required; not MS
5.2.4.3.1,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing.repeat.frequency,N,Partial,Mandatory within the cluster; not MS
5.2.4.3.2,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing.repeat.period,N,Partial,Mandatory within the cluster; not MS (period + periodUnit)
5.2.4.4,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing.repeat.dayOfWeek,N,Aligned,
5.2.4.5,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing.repeat.timeOfDay,N,Aligned,
5.2.4.6,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.timing.repeat.when,N,Aligned,
5.2.5,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.asNeeded[x],N,Aligned,
5.2.6,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.site,N,Aligned,
5.2.6.1,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.site,N,Aligned,post-coordinated in site (SNOMED CT) or a body-structure extension
5.2.6.2,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.site,N,Aligned,
5.2.6.3,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.site,N,Aligned,
5.2.6.4,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.site,N,Aligned,
5.2.6.5,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.site.text,N,Aligned,
5.2.7,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction.route,Y,Partial,no EDQM route binding
6.1,IECoreMedicationDispenseEDispensation,MedicationDispense.identifier,Y,Aligned,IG 1..* (stricter than HIQA 0..*)
6.2,IECoreMedicationDispenseEDispensation,,N,Gap,HIQA Mandatory; EU MPD extension:recorded 1..1 covers it (M-01)
6.3,IECoreMedicationDispenseEDispensation,MedicationDispense.status,Y,Aligned,
6.3.1,IECoreMedicationDispenseEDispensation,MedicationDispense.status,Y,Aligned,
6.3.2,IECoreMedicationDispenseEDispensation,MedicationDispense.statusReasonCodeableConcept,Y,Aligned,
6.3.2.1,IECoreMedicationDispenseEDispensation,MedicationDispense.statusReasonCodeableConcept,Y,Aligned,
6.3.2.2,IECoreMedicationDispenseEDispensation,MedicationDispense.statusReasonCodeableConcept.text,N,Aligned,
6.4,IECoreMedicationDispenseEDispensation,MedicationDispense.receiver,N,Aligned,
6.4.1,IECoreMedicationDispenseEDispensation,MedicationDispense.receiver,N,Aligned,Reference(Patient)
6.4.2,IECoreMedicationDispenseEDispensation,MedicationDispense.receiver,N,Aligned,Reference(Practitioner)
6.4.3,IECoreMedicationDispenseEDispensation,,N,Gap,would sit under MedicationDispense.receiver; R4 receiver allows only Patient or Practitioner; RelatedPerson needs an extension or R5 cross-version
6.4.3.1,IECoreRelatedPerson,RelatedPerson.name.prefix,N,Partial,profile exists but cannot be referenced from the R4 receiver
6.4.3.2,IECoreRelatedPerson,RelatedPerson.name.given,N,Partial,profile exists but cannot be referenced from the R4 MedicationDispense.receiver
6.4.3.3,IECoreRelatedPerson,RelatedPerson.name.family,N,Partial,profile exists but cannot be referenced from the R4 MedicationDispense.receiver
6.4.3.4,IECoreRelatedPerson,RelatedPerson.name.suffix,N,Partial,profile exists but cannot be referenced from the R4 MedicationDispense.receiver
6.4.3.5,IECoreRelatedPerson,RelatedPerson.identifier,N,Partial,profile exists but cannot be referenced from the R4 MedicationDispense.receiver
6.4.3.5.1,IECoreRelatedPerson,RelatedPerson.identifier.type,N,Partial,profile exists but cannot be referenced from the R4 MedicationDispense.receiver
6.4.3.5.2,IECoreRelatedPerson,RelatedPerson.identifier.value,N,Partial,profile exists but cannot be referenced from the R4 MedicationDispense.receiver
6.4.3.5.3,IECoreRelatedPerson,RelatedPerson.identifier.period,N,Partial,profile exists but cannot be referenced from the R4 MedicationDispense.receiver
6.4.3.5.4,IECoreRelatedPerson,RelatedPerson.identifier.assigner,N,Partial,profile exists but cannot be referenced from the R4 MedicationDispense.receiver
6.4.3.6,IECoreRelatedPerson,RelatedPerson.relationship,Y,Partial,profile exists but cannot be referenced from the R4 MedicationDispense.receiver
6.4.3.7,IECoreRelatedPerson,RelatedPerson.relationship,Y,Partial,profile exists but cannot be referenced from the R4 MedicationDispense.receiver
6.4.3.8,IECoreRelatedPerson,RelatedPerson.address,N,Partial,profile exists but cannot be referenced from the R4 MedicationDispense.receiver
6.4.3.8.1,IECoreRelatedPerson,RelatedPerson.address.postalCode,N,Partial,profile exists but cannot be referenced from the R4 MedicationDispense.receiver
6.4.3.8.2,IECoreRelatedPerson,RelatedPerson.address.line,N,Partial,profile exists but cannot be referenced from the R4 MedicationDispense.receiver
6.4.3.8.3,IECoreRelatedPerson,RelatedPerson.address.city,N,Partial,profile exists but cannot be referenced from the R4 MedicationDispense.receiver
6.4.3.8.4,IECoreRelatedPerson,RelatedPerson.address.state,N,Partial,profile exists but cannot be referenced from the R4 MedicationDispense.receiver
6.4.3.8.5,IECoreRelatedPerson,RelatedPerson.address.country,N,Partial,profile exists but cannot be referenced from the R4 MedicationDispense.receiver
6.4.3.9,IECoreRelatedPerson,RelatedPerson.telecom,N,Partial,profile exists but cannot be referenced from the R4 MedicationDispense.receiver
6.4.3.9.1,IECoreRelatedPerson,RelatedPerson.telecom,N,Partial,profile exists but cannot be referenced from the R4 MedicationDispense.receiver
6.4.3.9.2,IECoreRelatedPerson,RelatedPerson.telecom,N,Partial,profile exists but cannot be referenced from the R4 MedicationDispense.receiver
6.4.3.9.3,IECoreRelatedPerson,RelatedPerson.telecom,N,Partial,profile exists but cannot be referenced from the R4 MedicationDispense.receiver
6.5,IECoreMedicationDispenseEDispensation,MedicationDispense.authorizingPrescription,Y,Aligned,IG 1..* is stricter than HIQA Required 0..1 (M-03)
6.6,IECoreMedicationDispenseEDispensation,MedicationDispense.medication[x],Y,Aligned,
6.7,IECoreMedicationDispenseEDispensation,MedicationDispense.quantity,Y,Aligned,
6.8,IECoreMedicationDispenseEDispensation,MedicationDispense.whenHandedOver,Y,Partial,HIQA Mandatory 1..1; IG 0..1
6.9,IECoreMedicationDispenseEDispensation,MedicationDispense.whenHandedOver,Y,Partial,time component of whenHandedOver
6.10,IECoreMedicationDispenseEDispensation,MedicationDispense.substitution.wasSubstituted,Y,Aligned,
6.11,IECoreMedicationDispenseEDispensation,MedicationDispense.dosageInstruction,Y,Aligned,
6.12,IECoreMedicationDispenseEDispensation,MedicationDispense.note,N,Aligned,
NA-ethnicity,IECorePatientEPrescription,Patient.extension:ethnicity,N,Prohibited (enforced),0..0 in the ePrescription patient (ADR-002); GDPR Art. 9
NA-mothersMaidenName,IECorePatientEPrescription,Patient.extension:mothersMaidenName,N,Prohibited (enforced),0..0 (ADR-002); identity: HZ-06
NA-nationality,IECorePatientEPrescription,Patient.extension:patient-nationality,N,Prohibited (enforced),0..0 (EU Base slice constrained)
NA-maritalStatus,IECorePatientEPrescription,Patient.maritalStatus,N,Prohibited (enforced),0..0
NA-religion,IECorePatientEPrescription,Patient.extension:religion,N,Prohibited (enforced),0..0; GDPR Art. 9
NA-pronouns,IECorePatientEPrescription,Patient.extension:pronouns,N,Prohibited (enforced),0..0 (EU Base slice constrained)
NA-birthPlace,IECorePatientEPrescription,Patient.extension:birthPlace,N,Prohibited (enforced),0..0 (EU Base slice constrained)
NA-citizenship,IECorePatientEPrescription,Patient.extension:patient-citizenship,N,Prohibited (enforced),0..0
NA-mothersFormerSurname,IECorePatientEPrescription,Patient.extension:mothersFormerSurname,N,Prohibited (enforced),0..0
NA-countryOfAffiliation,IECorePatientEPrescription,Patient.extension:countryOfAffiliation,N,Prohibited (enforced),0..0
NA-interpreterRequired,IECorePatientEPrescription,Patient.extension:interpreterRequired,N,Prohibited (enforced),0..0
NA-contact,IECorePatientEPrescription,Patient.contact,N,Prohibited (enforced),0..0: third-party data; the receiver is on the dispense (EP 6.4)
